dataset,k,d_eff,d_eff_k1,d_eff_retention_rate,part_a_pp,sgc_mlp_acc,rest_std_acc,ortho_error
citeseer,20,1246,2035,0.612285,34.5601,69.1302,34.5701,1.9887091973203042e-10
citeseer,30,900,2035,0.44226,33.1423,69.5224,36.3801,1.8277324098647796e-10
coauthor-cs,1,6803,6803,1.0,10.7924,93.2697,82.4773,2.2490143081199676e-10
coauthor-cs,2,6803,6803,1.0,14.0313,92.8499,78.8186,3.1008839940227517e-10
coauthor-cs,4,6803,6803,1.0,12.1429,91.8411,79.6983,3.1386182541837115e-10
coauthor-cs,6,6803,6803,1.0,12.9989,91.2741,78.2752,3.4363212275678734e-10
coauthor-cs,8,6803,6803,1.0,13.7205,91.0451,77.3246,3.800301184853083e-10
coauthor-cs,10,6803,6803,1.0,13.0625,90.8342,77.7717,3.8698544368998e-10
coauthor-cs,12,6803,6803,1.0,13.4478,90.5871,77.1392,3.8640124433442224e-10
coauthor-cs,20,6210,6803,0.912833,10.9724,89.8528,78.8804,3.7297853694440164e-10
coauthor-cs,30,4117,6803,0.605174,5.7125,88.735,83.0225,3.4034686180461904e-10
coauthor-physics,1,7697,7697,1.0,6.856,95.5459,88.6899,5.807385683453958e-10
coauthor-physics,2,7697,7697,1.0,6.1517,95.4966,89.3449,5.863356467017411e-10
coauthor-physics,4,7697,7697,1.0,9.4155,95.3014,85.886,5.388897106328727e-10
coauthor-physics,6,7697,7697,1.0,8.9691,95.0647,86.0956,5.244266132464759e-10
coauthor-physics,8,7697,7697,1.0,8.3594,95.0019,86.6425,5.193449004181616e-10
coauthor-physics,10,7697,7697,1.0,8.0213,94.8783,86.857,5.175198047879803e-10
coauthor-physics,12,7697,7697,1.0,8.4802,94.8048,86.3246,5.173373951450344e-10
coauthor-physics,20,7264,7697,0.943744,6.256,94.5623,88.3063,5.121186807954814e-10
coauthor-physics,30,4968,7697,0.645446,2.8908,94.0541,91.1633,4.851697932295451e-10
cora,1,1427,1427,1.0,23.1475,69.5665,46.4189,1.6218537624013152e-10
cora,2,1427,1427,1.0,22.3971,69.5155,47.1184,1.9516677163267104e-10
cora,4,1427,1427,1.0,25.7559,74.1712,48.4153,2.3602642063025314e-10
cora,6,1427,1427,1.0,27.2495,75.5556,48.306,2.4083490757220716e-10
cora,8,1427,1427,1.0,29.5738,76.1967,46.623,2.4104429563465146e-10
cora,10,1427,1427,1.0,29.8871,76.1894,46.3024,2.4096946660279173e-10
cora,12,1427,1427,1.0,29.9745,77.0856,47.1111,2.4091018069327674e-10
cora,20,1262,1427,0.884373,30.1567,76.9326,46.776,2.367255280688596e-10
cora,30,862,1427,0.604064,26.0182,75.9709,49.9526,2.1708301822798148e-10
ogbn-arxiv,1,128,128,1.0,1.1047,68.1828,67.078,2.7798396917688706e-10
ogbn-arxiv,2,128,128,1.0,0.5367,71.4697,70.9329,2.1754209544866399e-10
ogbn-arxiv,4,128,128,1.0,0.2082,71.7477,71.5395,2.6581981060758153e-10
ogbn-arxiv,6,128,128,1.0,0.0587,71.3832,71.3245,3.219092770123666e-10
ogbn-arxiv,8,128,128,1.0,-0.4443,70.8258,71.2701,2.98515545615885e-10
ogbn-arxiv,10,128,128,1.0,-0.675,70.349,71.024,2.987327052395017e-10
ogbn-arxiv,12,128,128,1.0,-0.9311,69.8485,70.7796,2.8830038356630894e-10
ogbn-arxiv,20,128,128,1.0,-2.0494,67.6928,69.7422,2.4977730994635294e-10
ogbn-arxiv,30,128,128,1.0,-2.5389,65.9529,68.4918,2.479613181449736e-10
pubmed,1,500,500,1.0,26.3867,68.6933,42.3067,1.2808332172653536e-10
pubmed,2,500,500,1.0,26.9667,73.52,46.5533,1.2347300959447693e-10
pubmed,4,500,500,1.0,29.6533,74.9267,45.2733,1.5269252529037658e-10
pubmed,6,500,500,1.0,27.4133,74.46,47.0467,1.7536239127480258e-10
pubmed,8,500,500,1.0,28.04,74.94,46.9,1.827447082547451e-10
pubmed,10,500,500,1.0,27.5667,75.16,47.5933,1.9289214669981902e-10
pubmed,12,500,500,1.0,28.1,75.9467,47.8467,1.899543855543584e-10
pubmed,20,500,500,1.0,27.3333,75.5667,48.2333,2.0747326079373352e-10
pubmed,30,500,500,1.0,25.4933,75.5333,50.04,2.0932788835636984e-10
wikics,1,300,300,1.0,25.3385,78.0804,52.7419,2.914060104330929e-10
wikics,2,300,300,1.0,20.6918,78.9092,58.2173,3.452316210683648e-10
wikics,4,300,300,1.0,17.8006,78.1158,60.3152,6.955186426793603e-10
wikics,6,300,300,1.0,14.5092,77.4984,62.9892,8.586974464819264e-10
wikics,8,300,300,1.0,11.3653,76.3013,64.936,9.241524212555419e-10
wikics,10,300,300,1.0,8.6276,75.5162,66.8886,9.28288113044573e-10
wikics,12,300,300,1.0,7.2074,74.776,67.5686,9.286902358240923e-10
wikics,20,300,300,1.0,4.3929,72.357,67.9641,9.247416166147104e-10
wikics,30,300,300,1.0,0.3955,69.6771,69.2816,9.19268106081006e-10
