dataset,k,kappa_eig,kappa_U,eig_min,eig_max,d_eff,ortho_error
citeseer,20,133.25426002449282,4.297304799448661,0.011209718143137138,1.493742696246871,1246,1.9887091973203042e-10
citeseer,30,77.89637984398591,7.220214060424118,0.019092757211836838,1.4872566680422437,900,1.8277324098647796e-10
coauthor-cs,1,45.855783520478404,12.021653168372291,0.02893399672270023,1.3267910900983733,6803,2.2490143081199676e-10
coauthor-cs,2,65.93443627478946,30.219028953969637,0.020162914777666397,1.3294304195220559,6803,3.1008839940227517e-10
coauthor-cs,4,77.6755509790345,206.02477313545972,0.017721689710405913,1.3765420125352656,6803,3.1386182541837115e-10
coauthor-cs,6,78.38337594591763,320.84179329250566,0.017747311053003038,1.3910941542966764,6803,3.4363212275678734e-10
coauthor-cs,8,78.65874701128496,355.3246917479469,0.017737319598334633,1.3951953349437105,6803,3.800301184853083e-10
coauthor-cs,10,78.90066741646251,440.91855640131575,0.01772996834429797,1.3989063356378626,6803,3.8698544368998e-10
coauthor-cs,12,78.99954250124038,1266.9308553723122,0.017731652533964914,1.400792437974188,6803,3.8640124433442224e-10
coauthor-cs,20,77.524740258893,19467.152815856625,0.01807072359266223,1.400928152811389,6210,3.7297853694440164e-10
coauthor-cs,30,39.3598973087545,144.24690639404295,0.018847935314583453,0.741852798464052,4117,3.4034686180461904e-10
coauthor-physics,1,51.8203999843033,662.8935378933727,0.02572092785464826,1.332868769395281,7697,5.807385683453958e-10
coauthor-physics,2,66.25493032547108,456.16013296851554,0.02017397966435938,1.3366256170496014,7697,5.863356467017411e-10
coauthor-physics,4,72.32990810276043,805.0112997020394,0.01868700219854117,1.351629151736565,7697,5.388897106328727e-10
coauthor-physics,6,73.42593827318974,599.1430120749084,0.018673893155899127,1.3711481261851897,7697,5.244266132464759e-10
coauthor-physics,8,76.46115005845229,761.3918317650229,0.018679964284321615,1.4282915522300443,7697,5.193449004181616e-10
coauthor-physics,10,77.89387747215044,809.4802226371369,0.01866119863827016,1.4535931202128765,7697,5.175198047879803e-10
coauthor-physics,12,78.33539396054468,807.8269614821697,0.018679526500746883,1.4632680674324416,7697,5.173373951450344e-10
coauthor-physics,20,78.62379817064817,763.555630330847,0.018671373761782174,1.4680143222150976,7264,5.121186807954814e-10
coauthor-physics,30,58.20280787997053,910.4256609637196,0.018699866165659912,1.088384717821065,4968,4.851697932295451e-10
cora,1,64.51412415402396,4.10372631508514,0.022347114175224274,1.4417044983845677,1427,1.6218537624013152e-10
cora,2,81.81518362461517,4.328424906942415,0.017907678556553147,1.4651200093949792,1427,1.9516677163267104e-10
cora,4,76.21407752152807,4.424923041249409,0.019373274807824085,1.4765162680493715,1427,2.3602642063025314e-10
cora,6,74.94210536616336,4.455327912059479,0.019719032002432912,1.4777857740450746,1427,2.4083490757220716e-10
cora,8,74.84732690487586,4.459975837261768,0.01974558731325786,1.4779044285641803,1427,2.4104429563465146e-10
cora,10,76.0391578690534,4.463266008211751,0.01943618063383912,1.4779108075879313,1427,2.4096946660279173e-10
cora,12,75.5420464922204,4.463854477115417,0.019564238277742108,1.4779225975620722,1427,2.4091018069327674e-10
cora,20,64.510135287202,5.212975427690557,0.022898144966538924,1.4771624296173895,1262,2.367255280688596e-10
cora,30,55.088528654386096,13.609123035967666,0.026496561365476883,1.459656580024773,862,2.1708301822798148e-10
