dataset,k,num_eigenvectors_used,requested_p,d_eff,linear_probe_accuracy
citeseer,20,1246,all,1246,34.0875
citeseer,30,5,5,900,43.5897
citeseer,30,10,10,900,59.1252
citeseer,30,20,20,900,58.9744
citeseer,30,50,50,900,53.6953
citeseer,30,900,all,900,34.6908
coauthor-cs,1,5,5,6803,25.3272
coauthor-cs,1,10,10,6803,47.9553
coauthor-cs,1,20,20,6803,65.3217
coauthor-cs,1,50,50,6803,79.0894
coauthor-cs,1,6803,all,6803,65.5943
coauthor-cs,2,5,5,6803,24.0458
coauthor-cs,2,10,10,6803,23.7732
coauthor-cs,2,20,20,6803,35.9051
coauthor-cs,2,50,50,6803,69.9836
coauthor-cs,2,6803,all,6803,67.4482
coauthor-cs,4,5,5,6803,23.2279
coauthor-cs,4,10,10,6803,24.7819
coauthor-cs,4,20,20,6803,36.3413
coauthor-cs,4,50,50,6803,67.639
coauthor-cs,4,6803,all,6803,68.8931
coauthor-cs,6,5,5,6803,23.3915
coauthor-cs,6,10,10,6803,24.482
coauthor-cs,6,20,20,6803,35.578
coauthor-cs,6,50,50,6803,66.7394
coauthor-cs,6,6803,all,6803,68.5115
coauthor-cs,8,5,5,6803,23.4733
coauthor-cs,8,10,10,6803,24.2094
coauthor-cs,8,20,20,6803,35.4689
coauthor-cs,8,50,50,6803,66.2486
coauthor-cs,8,6803,all,6803,68.2661
coauthor-cs,10,5,5,6803,23.446
coauthor-cs,10,10,10,6803,24.1003
coauthor-cs,10,20,20,6803,35.1145
coauthor-cs,10,50,50,6803,65.976
coauthor-cs,10,6803,all,6803,68.2933
coauthor-cs,12,5,5,6803,23.4188
coauthor-cs,12,10,10,6803,24.1821
coauthor-cs,12,20,20,6803,35.1963
coauthor-cs,12,50,50,6803,65.867
coauthor-cs,12,6803,all,6803,68.6478
coauthor-cs,20,5,5,6210,23.337
coauthor-cs,20,10,10,6210,23.855
coauthor-cs,20,20,20,6210,31.843
coauthor-cs,20,50,50,6210,62.3228
coauthor-cs,20,6210,all,6210,71.5921
coauthor-cs,30,5,5,4117,23.3915
coauthor-cs,30,10,10,4117,23.7732
coauthor-cs,30,20,20,4117,30.6979
coauthor-cs,30,50,50,4117,57.4155
coauthor-cs,30,4117,all,4117,80.916
coauthor-physics,1,5,5,7697,70.913
coauthor-physics,1,10,10,7697,81.3043
coauthor-physics,1,20,20,7697,86.4928
coauthor-physics,1,50,50,7697,91.3188
coauthor-physics,1,7697,all,7697,85.8696
coauthor-physics,2,5,5,7697,60.4058
coauthor-physics,2,10,10,7697,73.8116
coauthor-physics,2,20,20,7697,80.2754
coauthor-physics,2,50,50,7697,88.3768
coauthor-physics,2,7697,all,7697,87.0
coauthor-physics,4,5,5,7697,51.3623
coauthor-physics,4,10,10,7697,61.1014
coauthor-physics,4,20,20,7697,72.6667
coauthor-physics,4,50,50,7697,84.0
coauthor-physics,4,7697,all,7697,86.4928
coauthor-physics,6,5,5,7697,52.5942
coauthor-physics,6,10,10,7697,60.9855
coauthor-physics,6,20,20,7697,73.5507
coauthor-physics,6,50,50,7697,83.8696
coauthor-physics,6,7697,all,7697,85.8986
coauthor-physics,8,5,5,7697,53.1304
coauthor-physics,8,10,10,7697,61.4928
coauthor-physics,8,20,20,7697,74.3333
coauthor-physics,8,50,50,7697,84.029
coauthor-physics,8,7697,all,7697,86.2174
coauthor-physics,10,5,5,7697,52.3768
coauthor-physics,10,10,10,7697,58.058
coauthor-physics,10,20,20,7697,73.4203
coauthor-physics,10,50,50,7697,83.7101
coauthor-physics,10,7697,all,7697,86.6087
coauthor-physics,12,5,5,7697,53.0
coauthor-physics,12,10,10,7697,61.1594
coauthor-physics,12,20,20,7697,73.9275
coauthor-physics,12,50,50,7697,83.3913
coauthor-physics,12,7697,all,7697,86.5362
coauthor-physics,20,5,5,7264,53.4638
coauthor-physics,20,10,10,7264,60.4058
coauthor-physics,20,20,20,7264,73.1594
coauthor-physics,20,50,50,7264,83.3768
coauthor-physics,20,7264,all,7264,88.0435
coauthor-physics,30,5,5,4968,53.4928
coauthor-physics,30,10,10,4968,58.9565
coauthor-physics,30,20,20,4968,70.2319
coauthor-physics,30,50,50,4968,82.4783
coauthor-physics,30,4968,all,4968,90.3768
cora,1,5,5,1427,49.1803
cora,1,10,10,1427,58.7978
cora,1,20,20,1427,69.6175
cora,1,50,50,1427,69.6175
cora,1,1427,all,1427,36.612
cora,2,5,5,1427,49.8361
cora,2,10,10,1427,58.4699
cora,2,20,20,1427,67.8689
cora,2,50,50,1427,68.306
cora,2,1427,all,1427,41.2022
cora,4,5,5,1427,57.0492
cora,4,10,10,1427,60.4372
cora,4,20,20,1427,70.2732
cora,4,50,50,1427,70.7104
cora,4,1427,all,1427,40.765
cora,6,5,5,1427,52.6776
cora,6,10,10,1427,60.6557
cora,6,20,20,1427,68.1967
cora,6,50,50,1427,70.0546
cora,6,1427,all,1427,40.5464
cora,8,5,5,1427,50.2732
cora,8,10,10,1427,60.9836
cora,8,20,20,1427,69.8361
cora,8,50,50,1427,68.1967
cora,8,1427,all,1427,39.4536
cora,10,5,5,1427,49.6175
cora,10,10,10,1427,60.6557
cora,10,20,20,1427,68.4153
cora,10,50,50,1427,70.929
cora,10,1427,all,1427,39.235
cora,12,5,5,1427,51.4754
cora,12,10,10,1427,61.0929
cora,12,20,20,1427,67.9781
cora,12,50,50,1427,68.306
cora,12,1427,all,1427,40.2186
cora,20,5,5,1262,51.0383
cora,20,10,10,1262,61.0929
cora,20,20,20,1262,67.7596
cora,20,50,50,1262,71.2568
cora,20,1262,all,1262,39.7814
cora,30,5,5,862,54.7541
cora,30,10,10,862,56.0656
cora,30,20,20,862,59.6721
cora,30,50,50,862,68.9617
cora,30,862,all,862,46.8852
ogbn-arxiv,1,5,5,128,27.7514
ogbn-arxiv,1,10,10,128,32.0783
ogbn-arxiv,1,20,20,128,35.0987
ogbn-arxiv,1,50,50,128,40.4131
ogbn-arxiv,1,128,all,128,64.6174
ogbn-arxiv,2,5,5,128,15.5073
ogbn-arxiv,2,10,10,128,31.8993
ogbn-arxiv,2,20,20,128,36.6788
ogbn-arxiv,2,50,50,128,43.2916
ogbn-arxiv,2,128,all,128,69.2077
ogbn-arxiv,4,5,5,128,9.4212
ogbn-arxiv,4,10,10,128,11.0487
ogbn-arxiv,4,20,20,128,13.065
ogbn-arxiv,4,50,50,128,21.762
ogbn-arxiv,4,128,all,128,69.2282
ogbn-arxiv,6,5,5,128,7.767
ogbn-arxiv,6,10,10,128,9.1311
ogbn-arxiv,6,20,20,128,10.6063
ogbn-arxiv,6,50,50,128,15.139
ogbn-arxiv,6,128,all,128,68.6316
ogbn-arxiv,8,5,5,128,6.3288
ogbn-arxiv,8,10,10,128,8.0551
ogbn-arxiv,8,20,20,128,9.1908
ogbn-arxiv,8,50,50,128,13.635
ogbn-arxiv,8,128,all,128,67.9135
ogbn-arxiv,10,5,5,128,6.0531
ogbn-arxiv,10,10,10,128,7.3349
ogbn-arxiv,10,20,20,128,8.6023
ogbn-arxiv,10,50,50,128,12.0672
ogbn-arxiv,10,128,all,128,67.1255
ogbn-arxiv,12,5,5,128,6.0531
ogbn-arxiv,12,10,10,128,6.3535
ogbn-arxiv,12,20,20,128,8.0098
ogbn-arxiv,12,50,50,128,10.8841
ogbn-arxiv,12,128,all,128,66.4157
ogbn-arxiv,20,5,5,128,5.9893
ogbn-arxiv,20,10,10,128,6.1313
ogbn-arxiv,20,20,20,128,6.4687
ogbn-arxiv,20,50,50,128,8.6846
ogbn-arxiv,20,128,all,128,64.1524
ogbn-arxiv,30,5,5,128,5.9502
ogbn-arxiv,30,10,10,128,6.0531
ogbn-arxiv,30,20,20,128,6.3165
ogbn-arxiv,30,50,50,128,7.5962
ogbn-arxiv,30,128,all,128,61.9962
pubmed,1,5,5,500,53.3
pubmed,1,10,10,500,63.8
pubmed,1,20,20,500,58.2
pubmed,1,50,50,500,54.2
pubmed,1,500,all,500,42.4
pubmed,2,5,5,500,68.7
pubmed,2,10,10,500,69.4
pubmed,2,20,20,500,68.7
pubmed,2,50,50,500,62.7
pubmed,2,500,all,500,45.8
pubmed,4,5,5,500,52.1
pubmed,4,10,10,500,57.5
pubmed,4,20,20,500,57.2
pubmed,4,50,50,500,58.9
pubmed,4,500,all,500,44.6
pubmed,6,5,5,500,37.3
pubmed,6,10,10,500,46.3
pubmed,6,20,20,500,50.9
pubmed,6,50,50,500,52.6
pubmed,6,500,all,500,47.0
pubmed,8,5,5,500,38.1
pubmed,8,10,10,500,38.8
pubmed,8,20,20,500,40.9
pubmed,8,50,50,500,48.8
pubmed,8,500,all,500,45.8
pubmed,10,5,5,500,38.5
pubmed,10,10,10,500,37.9
pubmed,10,20,20,500,38.0
pubmed,10,50,50,500,47.3
pubmed,10,500,all,500,47.9
pubmed,12,5,5,500,39.5
pubmed,12,10,10,500,40.7
pubmed,12,20,20,500,39.8
pubmed,12,50,50,500,41.2
pubmed,12,500,all,500,48.7
pubmed,20,5,5,500,38.4
pubmed,20,10,10,500,37.6
pubmed,20,20,20,500,38.8
pubmed,20,50,50,500,43.0
pubmed,20,500,all,500,46.4
pubmed,30,5,5,500,38.1
pubmed,30,10,10,500,37.4
pubmed,30,20,20,500,40.2
pubmed,30,50,50,500,40.5
pubmed,30,500,all,500,46.2
wikics,1,5,5,300,34.1951
wikics,1,10,10,300,37.241
wikics,1,20,20,300,43.7932
wikics,1,50,50,300,50.0797
wikics,1,300,all,300,51.9745
wikics,2,5,5,300,32.0701
wikics,2,10,10,300,40.9952
wikics,2,20,20,300,49.4953
wikics,2,50,50,300,53.3912
wikics,2,300,all,300,58.3319
wikics,4,5,5,300,29.2545
wikics,4,10,10,300,34.142
wikics,4,20,20,300,45.0505
wikics,4,50,50,300,54.3829
wikics,4,300,all,300,60.2621
wikics,6,5,5,300,29.5909
wikics,6,10,10,300,32.8847
wikics,6,20,20,300,45.688
wikics,6,50,50,300,53.4974
wikics,6,300,all,300,62.4579
wikics,8,5,5,300,29.0774
wikics,8,10,10,300,30.6534
wikics,8,20,20,300,45.6526
wikics,8,50,50,300,51.7797
wikics,8,300,all,300,64.1048
wikics,10,5,5,300,28.192
wikics,10,10,10,300,30.317
wikics,10,20,20,300,44.5369
wikics,10,50,50,300,54.2589
wikics,10,300,all,300,64.884
wikics,12,5,5,300,27.5367
wikics,12,10,10,300,30.1753
wikics,12,20,20,300,43.2796
wikics,12,50,50,300,55.711
wikics,12,300,all,300,65.9288
wikics,20,5,5,300,27.1649
wikics,20,10,10,300,32.9378
wikics,20,20,20,300,43.864
wikics,20,50,50,300,56.9506
wikics,20,300,all,300,66.2121
wikics,30,5,5,300,26.6159
wikics,30,10,10,300,34.2129
wikics,30,20,20,300,44.5369
wikics,30,50,50,300,58.7037
wikics,30,300,all,300,66.7965
